old_path;new_card;initial_reading;title;authors;category;last_read;rating;series;series_index
Художественные/Олдос Хаксли/Гений и богиня.md;Карточки/Олдос Хаксли - Гений и богиня.md;Чтения/2025-05-27 - Олдос Хаксли - Гений и богиня.md;Гений и богиня;Олдос Хаксли;fiction;2025-05-27;;;
Художественные/Олдос Хаксли/Евпомп прославил искусство числами.md;Карточки/Олдос Хаксли - Эвпомп придал блеск искусству при помощи чисел.md;Чтения/2025-04-11 - Олдос Хаксли - Эвпомп придал блеск искусству при помощи чисел.md;Эвпомп придал блеск искусству при помощи чисел;Олдос Хаксли;fiction;2025-04-11;;;
Художественные/Олдос Хаксли/Жёлтый кром.md;Карточки/Олдос Хаксли - Жёлтый кром.md;Чтения/2025-04-15 - Олдос Хаксли - Жёлтый кром.md;Жёлтый кром;Олдос Хаксли;fiction;2025-04-15;;;
Художественные/Олдос Хаксли/И зажили они счастливо.md;Карточки/Олдос Хаксли - И жили они долго и счастливо.md;Чтения/2025-04-09 - Олдос Хаксли - И жили они долго и счастливо.md;И жили они долго и счастливо;Олдос Хаксли;fiction;2025-04-09;;;
Художественные/Олдос Хаксли/Книжная лавка.md;Карточки/Олдос Хаксли - Книжная лавка.md;Чтения/2025-04-10 - Олдос Хаксли - Книжная лавка.md;Книжная лавка;Олдос Хаксли;fiction;2025-04-10;;;
Художественные/Олдос Хаксли/Контрапункт.md;Карточки/Олдос Хаксли - Контрапункт.md;Чтения/2025-05-29 - Олдос Хаксли - Контрапункт.md;Контрапункт;Олдос Хаксли;fiction;2025-05-29;;;
Художественные/Олдос Хаксли/Маленький Архимед.md;Карточки/Олдос Хаксли - Маленький Архимед.md;Чтения/2025-04-04 - Олдос Хаксли - Маленький Архимед.md;Маленький Архимед;Олдос Хаксли;fiction;2025-04-04;;;
Художественные/Олдос Хаксли/Монашка к завтраку.md;Карточки/Олдос Хаксли - Монашка к завтраку.md;Чтения/2025-06-03 - Олдос Хаксли - Монашка к завтраку.md;Монашка к завтраку;Олдос Хаксли;fiction;2025-06-03;;;
Художественные/Олдос Хаксли/О дивный новый мир.md;Карточки/Олдос Хаксли - О дивный новый мир.md;Чтения/2025-05-25 - Олдос Хаксли - О дивный новый мир.md;О дивный новый мир;Олдос Хаксли;fiction;2025-05-25;;;
Художественные/Олдос Хаксли/Обезьяна и сущность.md;Карточки/Олдос Хаксли - Обезьяна и сущность.md;Чтения/2025-05-30 - Олдос Хаксли - Обезьяна и сущность.md;Обезьяна и сущность;Олдос Хаксли;fiction;2025-05-30;;;
Художественные/Олдос Хаксли/Остров.md;Карточки/Олдос Хаксли - Остров.md;Чтения/2025-07-02 - Олдос Хаксли - Остров.md;Остров;Олдос Хаксли;fiction;2025-07-02;;;
Художественные/Олдос Хаксли/Писатели и читатели.md;Карточки/Олдос Хаксли - Писатели и читатели.md;Чтения/2025-07-02 - Олдос Хаксли - Писатели и читатели.md;Писатели и читатели;Олдос Хаксли;fiction;2025-07-02;;;
Художественные/Олдос Хаксли/Портрет.md;Карточки/Олдос Хаксли - Портрет.md;Чтения/2025-04-05 - Олдос Хаксли - Портрет.md;Портрет;Олдос Хаксли;fiction;2025-04-05;;;
Художественные/Олдос Хаксли/Слепец в газе.md;Карточки/Олдос Хаксли - Слепец в газе.md;Чтения/2025-08-29 - Олдос Хаксли - Слепец в газе.md;Слепец в газе;Олдос Хаксли;fiction;2025-08-29;;;
Художественные/Олдос Хаксли/Смерть Лулли.md;Карточки/Олдос Хаксли - Смерть Лулли.md;Чтения/2025-04-12 - Олдос Хаксли - Смерть Лулли.md;Смерть Лулли;Олдос Хаксли;fiction;2025-04-12;;;
Художественные/Олдос Хаксли/Улыбка Джоконды.md;Карточки/Олдос Хаксли - Улыбка Джоконды.md;Чтения/2025-04-06 - Олдос Хаксли - Улыбка Джоконды.md;Улыбка Джоконды;Олдос Хаксли;fiction;2025-04-06;;;
