old_path;new_card;initial_reading;title;authors;category;last_read;rating;series;series_index
Non-fiction/Джесси Итцлер. Месяц на пределе. Как я жил и тренировался со спецназовцем.md;Карточки/Джесси Итцлер - Месяц на пределе. Как я жил и тренировался со спецназовцем.md;Чтения/2021-09-01 - Джесси Итцлер - Месяц на пределе. Как я жил и тренировался со спецназовцем.md;Месяц на пределе. Как я жил и тренировался со спецназовцем;Джесси Итцлер;nonfiction;2021-09-01;;;
Non-fiction/Джо Наварро. Я вижу о чём вы думаете.md;Карточки/Джо Наварро - Я вижу о чём вы думаете.md;Чтения/2022-10 - Джо Наварро - Я вижу о чём вы думаете.md;Я вижу о чём вы думаете;Джо Наварро;nonfiction;2022-10;;;
Non-fiction/Джон Готтман. 8 важных свиданий.md;Карточки/Джон Готтман - 8 важных свиданий.md;Чтения/2022-11 - Джон Готтман - 8 важных свиданий.md;8 важных свиданий;Джон Готтман;nonfiction;2022-11;;;
Non-fiction/Джон Перкинс. Исповедь экономического убийцы.md;Карточки/Джон Перкинс - Исповедь экономического убийцы.md;Чтения/2023-08-27 - Джон Перкинс - Исповедь экономического убийцы.md;Исповедь экономического убийцы;Джон Перкинс;nonfiction;2023-08-27;;;
Non-fiction/Дмитрий Верищагин/01. Освобождение.md;Карточки/Дмитрий Верещагин - Освобождение.md;Чтения/2020-08 - Дмитрий Верещагин - Освобождение.md;Освобождение;Дмитрий Верещагин;nonfiction;2020-08;;Школа Дальнейшего Энерго-Информационного Развития;1
Non-fiction/Дмитрий Верищагин/02. Становление.md;Карточки/Дмитрий Верещагин - Становление.md;Чтения/2020-08 - Дмитрий Верещагин - Становление.md;Становление;Дмитрий Верещагин;nonfiction;2020-08;;Школа Дальнейшего Энерго-Информационного Развития;2
Non-fiction/Дмитрий Верищагин/03. Влияние.md;Карточки/Дмитрий Верещагин - Влияние.md;Чтения/2020-08 - Дмитрий Верещагин - Влияние.md;Влияние;Дмитрий Верещагин;nonfiction;2020-08;;Школа Дальнейшего Энерго-Информационного Развития;3
Non-fiction/Дмитрий Верищагин/04. Зрелость.md;Карточки/Дмитрий Верещагин - Зрелость.md;Чтения/2020-08 - Дмитрий Верещагин - Зрелость.md;Зрелость;Дмитрий Верещагин;nonfiction;2020-08;;Школа Дальнейшего Энерго-Информационного Развития;4
Non-fiction/Дмитрий Верищагин/05. Уверенность..md;Карточки/Дмитрий Верещагин - Уверенность.md;Чтения/2020-08 - Дмитрий Верещагин - Уверенность.md;Уверенность.;Дмитрий Верещагин;nonfiction;2020-08;;Школа Дальнейшего Энерго-Информационного Развития;5
Non-fiction/Дмитрий Верищагин/06. Мудрость. Часть 1.md;Карточки/Дмитрий Верещагин - Мудрость. Часть 1.md;Чтения/2020-08 - Дмитрий Верещагин - Мудрость. Часть 1.md;Мудрость. Часть 1;Дмитрий Верещагин;nonfiction;2020-08;;Школа Дальнейшего Энерго-Информационного Развития;6
Non-fiction/Дмитрий Верищагин/07. Мудрость. Часть 2.md;Карточки/Дмитрий Верещагин - Мудрость. Часть 2.md;Чтения/2020-08 - Дмитрий Верещагин - Мудрость. Часть 2.md;Мудрость. Часть 2;Дмитрий Верещагин;nonfiction;2020-08;;Школа Дальнейшего Энерго-Информационного Развития;7
Non-fiction/Дмитрий Верищагин/08. Техника одушевления предметов.md;Карточки/Дмитрий Верещагин - Техника одушевления предметов.md;Чтения/2022-02 - Дмитрий Верещагин - Техника одушевления предметов.md;Техника одушевления предметов;Дмитрий Верещагин;nonfiction;2022-02;;Школа Дальнейшего Энерго-Информационного Развития;8
Non-fiction/Дмитрий Жуков. Стой, кто ведет. Биология поведения человека и других зверей.md;Карточки/Дмитрий Жуков - Стой, кто ведет. Биология поведения человека и других зверей.md;Чтения/2025-05-10 - Дмитрий Жуков - Стой, кто ведет. Биология поведения человека и других зверей.md;Стой, кто ведет. Биология поведения человека и других зверей;Дмитрий Жуков;nonfiction;2025-05-10;;;
Non-fiction/Дэн Гарднер. Думай медленно - предсказывай точно.md;Карточки/Дэн Гарднер - Думай медленно - предсказывай точно.md;Чтения/2022-09-02 - Дэн Гарднер - Думай медленно - предсказывай точно.md;Думай медленно - предсказывай точно;Дэн Гарднер;nonfiction;2022-09-02;;;
Non-fiction/Ицхак Пинтосевич/Влияй! 7 заповедей лидера.md;Карточки/Ицхак Пинтосевич - Влияй! 7 заповедей лидера.md;Чтения/2020-02 - Ицхак Пинтосевич - Влияй! 7 заповедей лидера.md;Влияй! 7 заповедей лидера;Ицхак Пинтосевич;nonfiction;2020-02;;;
Non-fiction/Ицхак Пинтосевич/Действуй! 10 заповедей успеха.md;Карточки/Ицхак Пинтосевич - Действуй! 10 заповедей успеха.md;Чтения/2020-02 - Ицхак Пинтосевич - Действуй! 10 заповедей успеха.md;Действуй! 10 заповедей успеха;Ицхак Пинтосевич;nonfiction;2020-02;;;
Non-fiction/Карен Прайор. Не рычите на собаку.md;Карточки/Карен Прайор - Не рычите на собаку. Книга о дрессировке людей, животных и самого себя.md;Чтения/2020-12 - Карен Прайор - Не рычите на собаку. Книга о дрессировке людей, животных и самого себя.md;Не рычите на собаку. Книга о дрессировке людей, животных и самого себя;Карен Прайор;nonfiction;2020-12;;;
Non-fiction/Келли Макгонигал. Сила воли. Как развить и укрепить.md;Карточки/Келли Макгонигал - Сила воли. Как развить и укрепить.md;Чтения/2021-02 - Келли Макгонигал - Сила воли. Как развить и укрепить.md;Сила воли. Как развить и укрепить;Келли Макгонигал;nonfiction;2021-02;;;
Non-fiction/Ларри Кинг. Как разговаривать с кем угодно, когда угодно и где угодно.md;Карточки/Ларри Кинг - Как разговаривать с кем угодно, когда угодно и где угодно.md;Чтения/2022-07 - Ларри Кинг - Как разговаривать с кем угодно, когда угодно и где угодно.md;Как разговаривать с кем угодно, когда угодно и где угодно;Ларри Кинг;nonfiction;2022-07;;;
Non-fiction/Леон Гервей де Сен. Сновидения и способы ими управлять.md;Карточки/Леон Гервей де Сен - Сновидения и способы ими управлять.md;Чтения/2024-03-17 - Леон Гервей де Сен - Сновидения и способы ими управлять.md;Сновидения и способы ими управлять;Леон Гервей де Сен;nonfiction;2024-03-17;;;
Non-fiction/Майкл Льюис. Покер лжецов. Откровения с Уолл-стрит.md;Карточки/Майкл Льюис - Покер лжецов. Откровения с Уолл-стрит.md;Чтения/2020-12-24 - Майкл Льюис - Покер лжецов. Откровения с Уолл-стрит.md;Покер лжецов. Откровения с Уолл-стрит;Майкл Льюис;nonfiction;2020-12-24;;;
Non-fiction/Михаил Веллер. Приключения майора Звягина.md;Карточки/Михаил Веллер - Приключения майора Звягина.md;Чтения/2024-12-20 - Михаил Веллер - Приключения майора Звягина.md;Приключения майора Звягина;Михаил Веллер;nonfiction;2024-12-20;;;
Non-fiction/Мэттью Дж. Ван Натта. Спокойствие. Стоицизм – путь мудреца.md;Карточки/Мэттью Дж. Ван Натта - Спокойствие. Стоицизм – путь мудреца.md;Чтения/2021-01-15 - Мэттью Дж. Ван Натта - Спокойствие. Стоицизм – путь мудреца.md;Спокойствие. Стоицизм – путь мудреца;Мэттью Дж. Ван Натта;nonfiction;2021-01-15;;;
Non-fiction/Мэттью Макконахи. Зеленый свет.md;Карточки/Мэттью Макконахи - Зеленый свет.md;Чтения/2026-02-16 - Мэттью Макконахи - Зеленый свет.md;Зеленый свет;Мэттью Макконахи;nonfiction;2026-02-16;;;
Non-fiction/Нагоски Эмилия. Как хочет женщина.md;Карточки/Нагоски Эмилия - Как хочет женщина. Мастер-класс по науке секса.md;Чтения/2022-04 - Нагоски Эмилия - Как хочет женщина. Мастер-класс по науке секса.md;Как хочет женщина. Мастер-класс по науке секса;Нагоски Эмилия;nonfiction;2022-04;;;
Non-fiction/Нил Барнард. Питание для мозга.md;Карточки/Нил Барнард - Питание для мозга. Эффективная пошаговая методика для усиления эффективности работы мозга и укрепления памяти.md;Чтения/2024-09-26 - Нил Барнард - Питание для мозга. Эффективная пошаговая методика для усиления эффективности работы мозга и укрепления памяти.md;Питание для мозга. Эффективная пошаговая методика для усиления эффективности работы мозга и укрепления памяти;Нил Барнард;nonfiction;2024-09-26;;;
Non-fiction/Олдос Хаксли. Как исправить зрение.md;Карточки/Олдос Хаксли - Как исправить зрение.md;Чтения/2022-02 - Олдос Хаксли - Как исправить зрение.md;Как исправить зрение;Олдос Хаксли;nonfiction;2022-02;;;
Non-fiction/Петр Образцов. АнтиМулдашев.md;Карточки/Петр Образцов - АнтиМулдашев. От кого произошел уфимский офтальмолог-.md;Чтения/2025-02-10 - Петр Образцов - АнтиМулдашев. От кого произошел уфимский офтальмолог-.md;АнтиМулдашев. От кого произошел уфимский офтальмолог?;Петр Образцов;nonfiction;2025-02-10;;;
Non-fiction/Питер Браун. Запомнить всё. Усвоение знаний без скуки и зубрежки.md;Карточки/Питер Браун - Запомнить всё- Усвоение знаний без скуки и зубрежки.md;Чтения/2024-09-30 - Питер Браун - Запомнить всё- Усвоение знаний без скуки и зубрежки.md;Запомнить всё: Усвоение знаний без скуки и зубрежки;Питер Браун;nonfiction;2024-09-30;;;
Non-fiction/Райан Холидей. Препятствие как путь.md;Карточки/Райан Холидей - Препятствие как путь.md;Чтения/2025-01-11 - Райан Холидей - Препятствие как путь.md;Препятствие как путь;Райан Холидей;nonfiction;2025-01-11;;;
Non-fiction/Ричард Нисбетт. Мозгоускорители. Как научиться эффективно мыслить, используя приемы из разных наук.md;Карточки/Ричард Нисбетт - Мозгоускорители. Как научиться эффективно мыслить, используя приемы из разных наук.md;Чтения/2025-01-10 - Ричард Нисбетт - Мозгоускорители. Как научиться эффективно мыслить, используя приемы из разных наук.md;Мозгоускорители. Как научиться эффективно мыслить, используя приемы из разных наук;Ричард Нисбетт;nonfiction;2025-01-10;;;
Non-fiction/Роберт Кийосаки. Квадрант денежного потока.md;Карточки/Роберт Кийосаки - Квадрант денежного потока.md;Чтения/2023-08 - Роберт Кийосаки - Квадрант денежного потока.md;Квадрант денежного потока;Роберт Кийосаки;nonfiction;2023-08;;;
Non-fiction/Роберт Мастерс. Нейроречь.md;Карточки/Роберт Мастерс - Нейроречь. Преображает ваше тело в процессе чтения.md;Чтения/2023-02 - Роберт Мастерс - Нейроречь. Преображает ваше тело в процессе чтения.md;Нейроречь. Преображает ваше тело в процессе чтения;Роберт Мастерс;nonfiction;2023-02;;;
Non-fiction/Роберт Сапольски/Биология добра и зла.md;Карточки/Роберт Сапольски - Биология добра и зла. Как наука объясняет наши поступки.md;Чтения/2025-05-08 - Роберт Сапольски - Биология добра и зла. Как наука объясняет наши поступки.md;Биология добра и зла. Как наука объясняет наши поступки;Роберт Сапольски;nonfiction;2025-05-08;;;
Non-fiction/Роберт Сапольски/Биология поведения человека/01. Введение.md;Карточки/Роберт Сапольски - Введение.md;Чтения/2022-01 - Роберт Сапольски - Введение.md;Введение;Роберт Сапольски;nonfiction;2022-01;;Биология поведения человека;1
Non-fiction/Роберт Сапольски/Биология поведения человека/02. Эволюция поведения. Часть 1.md;Карточки/Роберт Сапольски - Эволюция поведения. Часть 1.md;Чтения/2022-01 - Роберт Сапольски - Эволюция поведения. Часть 1.md;Эволюция поведения. Часть 1;Роберт Сапольски;nonfiction;2022-01;;Биология поведения человека;2
Non-fiction/Роберт Сапольски/Биология поведения человека/03. Эволюция поведения. Часть 2.md;Карточки/Роберт Сапольски - Эволюция поведения. Часть 2.md;Чтения/2022-01 - Роберт Сапольски - Эволюция поведения. Часть 2.md;Эволюция поведения. Часть 2;Роберт Сапольски;nonfiction;2022-01;;Биология поведения человека;3
Non-fiction/Роберт Сапольски/Биология поведения человека/04. Молекулярная генетика. Часть 1.md;Карточки/Роберт Сапольски - Молекулярная генетика. Часть 1.md;Чтения/2022-01 - Роберт Сапольски - Молекулярная генетика. Часть 1.md;Молекулярная генетика. Часть 1;Роберт Сапольски;nonfiction;2022-01;;Биология поведения человека;4
Non-fiction/Роберт Чалдини. Психология влияния.md;Карточки/Роберт Чалдини - Психология влияния.md;Чтения/2025-05-11 - Роберт Чалдини - Психология влияния.md;Психология влияния;Роберт Чалдини;nonfiction;2025-05-11;;;
Non-fiction/Сергей Петрушин/100 ловушек в личной жизни.md;Карточки/Сергей Петрушин - 100 ловушек в личной жизни.md;Чтения/2020-02 - Сергей Петрушин - 100 ловушек в личной жизни.md;100 ловушек в личной жизни;Сергей Петрушин;nonfiction;2020-02;;;
Non-fiction/Сергей Петрушин/Забей! Как перестать сомневаться в себе и начать жить по полной.md;Карточки/Сергей Петрушин - Забей! Как перестать сомневаться в себе и начать жить по полной.md;Чтения/2020-02 - Сергей Петрушин - Забей! Как перестать сомневаться в себе и начать жить по полной.md;Забей! Как перестать сомневаться в себе и начать жить по полной.;Сергей Петрушин;nonfiction;2020-02;;;
Non-fiction/Сергей Петрушин/Почему любят одних.md;Карточки/Сергей Петрушин - Почему любят одних.md;Чтения/2020-02 - Сергей Петрушин - Почему любят одних.md;Почему любят одних;Сергей Петрушин;nonfiction;2020-02;;;
Non-fiction/Сергей Петрушин/Счастья в личной жизни.md;Карточки/Сергей Петрушин - Счастья в личной жизни.md;Чтения/2020-02 - Сергей Петрушин - Счастья в личной жизни.md;Счастья в личной жизни;Сергей Петрушин;nonfiction;2020-02;;;
Non-fiction/Стивен Д'Соуза. Дайана Реннер. Не в знании сила. Как сомнения помогают нам развиваться.md;Карточки/Стивен Д'Соуза - Не в знании сила. Как сомнения помогают нам развиваться.md;Чтения/2021-10-04 - Стивен Д'Соуза - Не в знании сила. Как сомнения помогают нам развиваться.md;Не в знании сила. Как сомнения помогают нам развиваться;Стивен Д'Соуза | Дайана Реннер;nonfiction;2021-10-04;;;
Non-fiction/Сьюзен Джефферс. Бойся но действуй.md;Карточки/Сьюзен Джефферс - Бойся но действуй.md;Чтения/2022-07 - Сьюзен Джефферс - Бойся но действуй.md;Бойся но действуй;Сьюзен Джефферс;nonfiction;2022-07;;;
Non-fiction/Тимоти Феррис. Инструменты гигантов.md;Карточки/Тимоти Феррис - Инструменты гигантов.md;Чтения/2024-06-05 - Тимоти Феррис - Инструменты гигантов.md;Инструменты гигантов;Тимоти Феррис;nonfiction;2024-06-05;;;
Non-fiction/Тимоти Феррис. Как работать по 4 часа.md;Карточки/Тимоти Феррис - Как работать по 4 часа в неделю и при этом не торчать в офисе -от звонка до звонка-, жить где угодно и богатеть.md;Чтения/2024-06-05 - Тимоти Феррис - Как работать по 4 часа в неделю и при этом не торчать в офисе -от звонка до звонка-, жить где угодно и богатеть.md;"Как работать по 4 часа в неделю и при этом не торчать в офисе ""от звонка до звонка"", жить где угодно и богатеть";Тимоти Феррис;nonfiction;2024-06-05;;;
Non-fiction/Халил Рафати. Я забыл умереть.md;Карточки/Халил Рафати - Я забыл умереть.md;Чтения/2026-02-16 - Халил Рафати - Я забыл умереть.md;Я забыл умереть;Халил Рафати;nonfiction;2026-02-16;;;
Non-fiction/Элиезер Юдковски. Таинственные ответы на таинственные вопросы.md;Карточки/Элиезер Юдковски - Таинственные ответы на таинственные вопросы.md;Чтения/2025-11-02 - Элиезер Юдковски - Таинственные ответы на таинственные вопросы.md;Таинственные ответы на таинственные вопросы;Элиезер Юдковски;nonfiction;2025-11-02;;;
Non-fiction/Энни Дьюк. Принцип ставок. Как принимать решения в условиях неопределенности.md;Карточки/Энни Дьюк - Принцип ставок. Как принимать решения в условиях неопределенности.md;Чтения/2022-08 - Энни Дьюк - Принцип ставок. Как принимать решения в условиях неопределенности.md;Принцип ставок. Как принимать решения в условиях неопределенности;Энни Дьюк;nonfiction;2022-08;;;
Non-fiction/Эрик Берн. Игры в которые играют люди.md;Карточки/Эрик Берн - Игры в которые играют люди.md;Чтения/2025-06-11 - Эрик Берн - Игры в которые играют люди.md;Игры в которые играют люди;Эрик Берн;nonfiction;2025-06-11;;;
Художественные/Артур Кларк. Стрела времени.md;Карточки/Артур Кларк - Стрела времени.md;Чтения/2026-09-12 - Артур Кларк - Стрела времени.md;Стрела времени;Артур Кларк;fiction;2026-09-12;4;;
Художественные/Бернар Вербер/Танатонавты. Империя ангелов.md;Карточки/Бернар Вербер - Империя ангелов.md;Чтения/2024-09-20 - Бернар Вербер - Империя ангелов.md;Империя ангелов;Бернар Вербер;fiction;2024-09-20;5;Танатонавты;2
Художественные/Бернар Вербер/Танатонавты.md;Карточки/Бернар Вербер - Танатонавты.md;Чтения/2024-09-10 - Бернар Вербер - Танатонавты.md;Танатонавты;Бернар Вербер;fiction;2024-09-10;7;Танатонавты;1
Художественные/Виктор Пелевин/Затворник и шестипалый.md;Карточки/Виктор Пелевин - Затворник и шестипалый.md;Чтения/2025-07-16 - Виктор Пелевин - Затворник и шестипалый.md;Затворник и шестипалый;Виктор Пелевин;fiction;2025-07-16;7;;
Художественные/Виктор Пелевин/Чапаев и пустота.md;Карточки/Виктор Пелевин - Чапаев и пустота.md;Чтения/2024-10-12 - Виктор Пелевин - Чапаев и пустота.md;Чапаев и пустота;Виктор Пелевин;fiction;2024-10-12;9;;
Художественные/Виктор Пелевин/Числа.md;Карточки/Виктор Пелевин - Числа.md;Чтения/2022-09-26 - Виктор Пелевин - Числа.md;Числа;Виктор Пелевин;fiction;2022-09-26;4;;
